seq_id	pfam_id	pfam_desc	supfam_id	supfam_desc
A4D161	PF14753	FAM221		
A5PLL7	PF10520	Lipid_desat		
A6H8Z2	PF14753	FAM221		
A6NDV4	PF12036	DUF3522		
A6NFQ2	PF13402	Peptidase_M60	SSF52317	Class I glutamine amidotransferase-like
A6NK06	PF19305	MmgE_PrpD_C	SSF103378	2-methylcitrate dehydratase PrpD
A6PVC2	PF03133	TTL	SSF56059	Glutathione synthetase ATP-binding domain-like
A8K7I4	PF13519	VWA_2	SSF53300	vWA-like
A8MW95	PF17675	APG6_N		
A8MXD5	PF00462	Glutaredoxin	SSF52833	Thioredoxin-like
A9YTQ3	PF00989	PAS	SSF55785	PYP-like sensor domain (PAS domain)
B0L3A2				
O00198	PF15196	Harakiri		
O00287	PF15289	RFXA_RFXANK_bdg		
O00628	PF00400	WD40	SSF50978	WD40 repeat-like
O14490	PF03359	GKAP		
O14512	PF07525	SOCS_box	SSF158235	SOCS box-like
O14649	PF07885	Ion_trans_2	SSF81324	Voltage-gated potassium channels
O14836	PF09305	TACI-CRD2	SSF57586	TNF receptor-like
O14939	PF00787	PX	SSF64268	PX domain
O15121	PF08557	Lipid_DES		
O15228	PF19277	GPAT_C	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
O15231				
O15273	PF09470	Telethonin		
O15304	PF05458	Siva		
O15503	PF07281	INSIG		
O43300	PF13855	LRR_8	SSF52058	L domain-like
O43396	PF00085	Thioredoxin	SSF52833	Thioredoxin-like
O43402	PF03665	UPF0172		
O43435	PF00907	T-box	SSF49417	p53-like transcription factors
O43525	PF11956	KCNQC3-Ank-G_bd	SSF81324	Voltage-gated potassium channels
O43597	PF05210	Sprouty		
O43609	PF05210	Sprouty		
O43610	PF05210	Sprouty		
O43815	PF00400	WD40	SSF50978	WD40 repeat-like
O60393	PF00046	Homeodomain	SSF46689	Homeodomain-like
O60427	PF00487	FA_desaturase	SSF55856	Cytochrome b5-like heme/steroid binding domain
O60741	PF08412	Ion_trans_N	SSF81324	Voltage-gated potassium channels
O60927	PF07491	PPI_Ypi1		
O75072	PF04991	LicD		
O75419	PF02724	CDC45		
O75564	PF03221	HTH_Tnp_Tc5	SSF46689	Homeodomain-like
O75638	PF09341	Pcc1		
O75712	PF00029	Connexin		
O75817	PF12328	Rpp20	SSF82704	AlbA-like
O75841	PF00335	Tetraspanin	SSF48652	Tetraspanin
O75845	PF04116	FA_hydroxylase		
O94818				
O94842	PF00505	HMG_box	SSF47095	HMG-box
O94886	PF13967	RSN1_TM	SSF54928	RNA-binding domain, RBD
O94955	PF00071	Ras	SSF54695	POZ domain
O94967	PF00400	WD40	SSF50978	WD40 repeat-like
O95171				
O95259	PF13426	PAS_9	SSF81324	Voltage-gated potassium channels
O95415	PF10164	BRI3		
O95427	PF04987	PigN	SSF53649	Alkaline phosphatase-like
O95803	PF00685	Sulfotransfer_1	SSF52540	P-loop containing nucleoside triphosphate hydrolases
O95872	PF01585	G-patch	SSF48403	Ankyrin repeat
O95992	PF04116	FA_hydroxylase		
O96005	PF05602	CLPTM1		
P01100	PF00170	bZIP_1	SSF57959	Leucine zipper domain
P01732	PF07686	V-set	SSF48726	Immunoglobulin
P01903	PF00993	MHC_II_alpha	SSF54452	MHC antigen-recognition domain
P01906	PF00993	MHC_II_alpha	SSF54452	MHC antigen-recognition domain
P01909	PF00993	MHC_II_alpha	SSF54452	MHC antigen-recognition domain
P05412	PF03957	Jun	SSF57959	Leucine zipper domain
P07202	PF00084	Sushi	SSF48113	Heme-dependent peroxidases
P0CG20	PF15269	zf-C2H2_7		
P0DJI8	PF00277	SAA		
P0DJI9	PF00277	SAA		
P12524	PF01056	Myc_N	SSF47459	HLH, helix-loop-helix DNA-binding domain
P13284	PF03227	GILT		
P15407	PF00170	bZIP_1	SSF57959	Leucine zipper domain
P15408	PF00170	bZIP_1	SSF57959	Leucine zipper domain
P16389	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
P17275	PF03957	Jun	SSF57959	Leucine zipper domain
P17535	PF03957	Jun	SSF57959	Leucine zipper domain
P17658	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
P18405	PF02544	Steroid_dh		
P18847	PF00170	bZIP_1	SSF57959	Leucine zipper domain
P19113	PF00282	Pyridoxal_deC	SSF53383	PLP-dependent transferases
P19237	PF00992	Troponin	SSF90250	Troponin coil-coiled subunits
P19634	PF16644	NEXCaM_BD		
P22001	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
P22307	PF00108	Thiolase_N	SSF53901	Thiolase-like
P22459	PF07941	K_channel_TID	SSF81324	Voltage-gated potassium channels
P22460	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
P23497	PF01342	SAND	SSF63763	SAND domain-like
P24394	PF09238	IL4Ra_N	SSF49265	Fibronectin type III
P27544	PF03798	TRAM_LAG1_CLN8		
P30086	PF01161	PBP	SSF49777	PEBP-like
P30566	PF00206	Lyase_1	SSF48557	L-aspartase-like
P32297	PF02932	Neur_chan_memb	SSF63712	Nicotinic receptor ligand binding domain-like
P36551	PF01218	Coprogen_oxidas	SSF102886	Coproporphyrinogen III oxidase
P37088	PF00858	ASC		
P41567	PF01253	SUI1	SSF55159	eIF1-like
P42357	PF00221	Lyase_aromatic	SSF48557	L-aspartase-like
P43034	PF00400	WD40	SSF50978	WD40 repeat-like
P43681	PF02932	Neur_chan_memb	SSF63712	Nicotinic receptor ligand binding domain-like
P48651	PF03034	PSS		
P48764	PF00999	Na_H_Exchanger		
P49640	PF00046	Homeodomain	SSF46689	Homeodomain-like
P49917	PF11411	DNA_ligase_IV	SSF50249	Nucleic acid-binding proteins
P50539	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
P50747	PF03099	BPL_LplA_LipB	SSF55681	Class II aaRS and biotin synthetases
P51606	PF07221	GlcNAc_2-epim	SSF48208	Six-hairpin glycosidases
P51787	PF03520	KCNQ_channel	SSF81324	Voltage-gated potassium channels
P52848	PF00685	Sulfotransfer_1	SSF52540	P-loop containing nucleoside triphosphate hydrolases
P52849	PF00685	Sulfotransfer_1	SSF52540	P-loop containing nucleoside triphosphate hydrolases
P53539	PF00170	bZIP_1	SSF57959	Leucine zipper domain
P54277	PF00505	HMG_box	SSF54211	Ribosomal protein S5 domain 2-like
P54886	PF00171	Aldedh	SSF53633	Carbamate kinase-like
P55061	PF01027	Bax1-I		
P56696	PF03520	KCNQ_channel	SSF81324	Voltage-gated potassium channels
P59542	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
P61962	PF00400	WD40	SSF50978	WD40 repeat-like
P61964	PF00400	WD40	SSF50978	WD40 repeat-like
P62079	PF00335	Tetraspanin	SSF48652	Tetraspanin
P62324	PF07742	BTG	SSF160696	BTG domain-like
P62952	PF06726	BC10		
P78395			SSF52047	RNI-like
P78412	PF05920	Homeobox_KN	SSF46689	Homeodomain-like
P86397	PF01575	MaoC_dehydratas	SSF54637	Thioesterase/thiol ester dehydrase-isomerase
Q00973	PF00535	Glycos_transf_2	SSF53448	Nucleotide-diphospho-sugar transferases
Q01415	PF00288	GHMP_kinases_N	SSF54211	Ribosomal protein S5 domain 2-like
Q02094	PF00909	Ammonium_transp	SSF111352	Ammonium transporter
Q02223	PF09257	BCMA-Tall_bind	SSF57586	TNF receptor-like
Q05195	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q06495	PF02690	Na_Pi_cotrans		
Q08AE8	PF16474	KIND	SSF57903	FYVE/PHD zinc finger
Q09327	PF04724	Glyco_transf_17		
Q09470	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q0ZLH3	PF04598	Gasdermin		
Q11203	PF00777	Glyco_transf_29		
Q11206	PF00777	Glyco_transf_29		
Q12870	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q12887	PF01040	UbiA		
Q13033	PF00400	WD40	SSF50978	WD40 repeat-like
Q13077	PF16673	TRAF_BIRC3_bd	SSF49599	TRAF domain-like
Q13112	PF00400	WD40	SSF50978	WD40 repeat-like
Q13228	PF05694	SBP56	SSF75011	3-carboxy-cis,cis-mucoante lactonizing enzyme
Q13516	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q13875	PF02318	FYVE_2		
Q14118	PF05345	He_PIG	SSF111006	Dystroglycan, domain 2
Q14137	PF00400	WD40	SSF50978	WD40 repeat-like
Q14159	PF14951	DUF4503		
Q14457	PF15285	BH3		
Q14642	PF03372	Exo_endo_phos	SSF56219	DNase I-like
Q14940	PF00999	Na_H_Exchanger		
Q14CN2	PF00092	VWA	SSF53300	vWA-like
